id,name,PB
1,HEYROO미네랄워터P1L,1
2,HEYROO아이스께끼파인,1
3,HEYROO파르페마끼아또,1
4,del)유기농식혜,1
5,GET허쉬티라미수라떼30g,1
6,HEYROO칼라만시에이드P360ml,1
7,PB)CU교통카드그린,1
8,HEYROO망고듬뿍빙수,1
9,del)바닐라향아메리카노,1
10,del)빅아메리카노스위트,1
11,HEYROO고소한치즈팝콘1200,1
12,GET허쉬초코카페모카30g,1
13,del)블루레몬에이드,1
14,샌)페퍼로니치즈토스트,1
15,HEYROO)타포린쇼핑백특대,1
16,HEYROO속초홍게라면,1
17,GET즉석바닐라라떼30g,1
18,HEYROO프레첼&카라멜,1
19,오뚜기)파스탕크림토마토,1
20,PB)1000콘딸기,1
21,HEYROO초코바나나콘,1
22,del)복숭아아이스티,1
23,HEYROO뻥이요스낵1200,1
24,HEYROO블루레몬에이드360ml,1
25,GET카페라떼캔275ml,1
26,PB)CU팬티스타킹살구 ,1
27,CU물티슈10P,1
28,HEYROO육개장국밥,1
29,튀김)닭다리,1
30,PB)CU교통카드그린,1
31,HEYROO피규어베리믹스우유,1
32,del)빅아메리카노스위트,1
33,HEYROO카페모카컵300ml,1
34,HEYROO시원한바지락칼국수,1
35,HEYROO마시는한끼고구마,1
36,del)헤이즐넛향,1
37,HEYROO아이스께끼오렌지,1
38,HEYROO3겹롤티슈24입,1
39,GET아메리카노원컵,1
40,HEYROO김두부스낵,1
41,HEYROO매운까르보볶이,1
42,HEYROO오렌지주스270ml,1
43,HEYROO흰우유1L,1
44,CU)오사카식튀김우동,1
45,HEYROO컵육개장,1
46,HEYROO청사과탄산수P350ml,1
47,del)옛날미숫가루,1
48,HEYROO리치파인210ml,1
49,HEYROO빅바나나우유500ml,1
50,del)체리에이드,1
51,PB)GET핸드드립원두커피,1
52,PB)1000콘바닐라,1
53,HEYROO레몬탄산수,1
54,del)카페라떼스위트,1
55,백쿡)백종원비빔간장140g,1
56,풀무원)자이언트쫄볶이,1
57,PB)가쓰오우동곱빼기,1
58,HEYROO콘초코플러스,1
59,HEYROO파르페플러리,1
60,HEYROO초코파이아이스녹차,1
61,HEYROO빅초코우유500ml,1
62,HEYROO왕소라과자1200,1
63,HEYROO빅요구르트450,1
64,HEYROO신나는초코뉴짱,1
65,PB)CU팬티스타킹검정,1
66,HEYROO콩커피컵300ml,1
67,유자꿀물병,1
68,delaffe망고에이드,1
69,GET허쉬마시멜로라떼30g,1
70,GET미니스틱원두커피10T,1
71,헤이루)부직포쇼핑백(중),1
72,HEYROO마시는한끼미숫가루,1
73,삼립)매콤갈릭면볶이,1
74,HEYROO팝꽃놀이,1
75,del)빅아메리카노블랙,1
76,del)깔라만시에이드,1
77,백쿡)백종원고추장150g,1
78,HEYROO치즈순삭,1
79,PB)청포도스파클링,1
80,HEYROO미네랄워터P2L,1
81,del)청포도에이드,1
82,HEYROO계란북어국밥,1
83,HEYROO콘치즈그라탕,1
84,HEYROO티라미수컵,1
85,HEYROO까망베르쿠키1200,1
86,HEYROO빅커피500ml,1
87,HEYROO데일리스무디바나나,1
88,HEYROO피치워터P500ml,1
89,GET즉석ICED아메리카노(L),1
90,HEYROO꼬불이마라탕면스낵,1
91,HEYROO각티슈280매3입,1
92,HEYROO파르페딸기,1
93,HEYROO황태미역국밥,1
94,HEYROO사골떡국,1
95,GET즉석ICED카페라떼시럽,1
96,아임유어컵,1
97,GET스틱원두커피(원컵),1
98,PB)CU팬티스타킹커피,1
99,HEYROO계란과자1200,1
100,HEYROO애플워터P500ml,1
101,GET헤이즐넛향원컵,1
102,HEYROO자두비트210ml,1
103,PB)CU교통카드뽀로로,1
104,HEYROO진한초코칩쿠키,1
105,HEYROO카라멜맛팝콘1200,1
106,HEYROO아메리카노P1L,1
107,HEYROO청도홍시P200ml,1
108,HEYROO콘소메맛팝콘1200,1
109,HEYROO초코크런치스낵,1
110,HEYROO신나는뉴짱1200,1
111,PB)BIG델라페봉지얼음,1
112,del)빅복숭아아이스티,1
113,GET허쉬뉴티라미수30g,1
114,HEYROO초코우유1L,1
115,HEYROO자몽270ml,1
116,즉석빵)맘모스빵,1
117,HEYROO크래미아샐러드,1
118,HEYROO간장치킨맛팝콘1200,1
119,HEYROO마시는한끼옥수수,1
120,HEYROO청송사과주스270ml,1
121,HEYROO카페라떼컵300ml,1
122,HEYROO피규어옥수수우유,1
123,del)유기농사과에이드,1
124,HEYROO체다치즈나쵸칩,1
125,HEYROO)종이쇼핑백(중),1
126,HEYROO코코밀키자망250ml,1
127,HEYROO우유팥빙수,1
128,HEYROO한여름솔티드워터P500ml,1
129,del)아메리카노블랙,1
130,HEYROO파르페인절미,1
131,HEYROO빅메론우유500ml,1
132,HEYROO콘칩군옥수수맛170g,1
133,HEYROO소프트인절미스낵,1
134,HEYROO미네랄워터P500ml,1
135,HEYROO데일리스무디메론,1
136,del)햇살수정과,1
137,del)빅복숭아아이스티,1
138,HEYROO빅요구르트270ml,1
139,HEYROO컵미역국,1
140,HEYROO청양고추라면,1
141,HEYROO리틀치즈큐브,1
142,HEYROO고구마스낵1200,1
143,GET카페라떼P280ml,1
144,HEYROO자몽500ml,1
145,푸드)피자빵빵,1
146,HEYROO깔라X자몽톡시270ml,1
147,HEYROO매콤불고기브리또,1
148,GET즉석ICED카페라떼,1
149,HEYROO마늘맛콘스낵1200,1
150,HEYROO소불고기덮밥,1
151,del)오렌지자몽에이드,1
152,del)아메리카노스위트,1
153,HEYROO컵두부된장국,1
154,HEYROO빅드링킹요구망고,1
155,PB)건강한하루당근사과 ,1
156,HEYROO피규어수박우유,1
157,HEYROO치즈맛라면,1
158,del)카페라떼스위트,1
159,오뚜기)파스탕크림치즈,1
160,HEYROO맛새우칩,1
161,HEYROO달콤한대롱과자1200,1
162,HEYROO마시는한끼시리얼,1
163,HEYROO꼬불이라면스낵1200,1
164,PB)건강한하루케일파인,1
165,GET더치커피워터P330ml,1
166,GET타로티P280ml,1
167,HEYROO더블쭈쭈바초코,1
168,HEYROO생생바지락칼국수,1
169,del)빅헤이즐넛향,1
170,HEYROO파르페초코,1
171,신서유기초코우유,1
172,깨끗한)물티슈10매,1
173,HEYROO오렌지500ml,1
174,HEYROO빅딸기우유500ml,1
175,GET밀크티P280ml,1
176,PB)CU콜라P350ml,1
177,del)빅컵얼음230g,1
178,PB)CU흰우유500ml,1
179,신서유기딸기코코넛우유,1
180,HEYROO제주감귤P200ml,1
181,HEYROO초코콘75g,1
182,HEYROO블루베리270ml,1
183,HEYROO피규어고구마우유,1
184,HEYROO알폰소망고주스,1
185,del)바닐라향라떼,1
186,HEYROO베리베리컵,1
187,PB)민트탄산수P350,1
188,HEYROO오란다스낵1200,1
189,HEYROO초코파이아이스샌드,1
190,HEYROO커피1L,1
191,대영)졸음뚝용기껌,1
192,HEYROO믹스커피P1L,1
193,HEYROO우유쿠키빙수,1
194,HEYROO베이컨감자샐러드,1
195,HEYROO코코밀키딸바250ml,1
196,HEYROO달콤한인절미아이스,1
197,GET커피다크블렌드,1
198,HEYROO휴대용티슈60매,1
199,HEYROO저지방흰우유300ml,1
200,신서유기바나나우유,1
201,HEYROO듬뿍어묵우동,1
202,CU각티슈280P,1
203,PB)레몬탄산에이드P350,1
204,HEYROO쌀떡볶이1200,1
